Number;Unit;Year;Mark
222;ASTRO5;4;A
222;TRANS3;2;A
222;DATDA3;3;A
222;DATDA2;2;A
222;POTIO2;6;A
222;HERBO4;5;A
222;CHARM5;4;A
222;HERBO1;1;A
222;HERBO2;1;E
222;HERBO3;1;A
222;CHARM4;1;A
222;TRANS5;5;E
222;ASTRO3;2;A
222;TRANS1;3;E
222;ASTRO2;66;A
222;HERBO5;5;E
222;CHARM2;2;A
222;DATDA1;66;A
222;ASTRO4;3;A
222;POTIO3;4;E
222;DATDA4;5;E
223;ASTRO1;66;A
223;TRANS4;5;A
223;POTIO1;1;A
223;CHARM1;66;A
223;TRANS2;66;E
223;POTIO4;4;A
223;POTIO5;4;A
223;CHARM3;2;A
223;DATDA5;3;E
223;ASTRO5;5;E
223;TRANS3;2;E
223;DATDA3;2;A
223;DATDA2;3;A
223;POTIO2;66;A
223;HERBO4;6;E
223;CHARM5;5;E
223;HERBO1;66;A
223;HERBO2;1;A
223;HERBO3;66;A
223;CHARM4;5;A
223;TRANS5;5;E
223;ASTRO3;2;A
223;TRANS1;66;A
223;ASTRO2;66;E
223;HERBO5;6;E
223;CHARM2;66;A
223;DATDA1;66;A
223;ASTRO4;2;A
223;POTIO3;66;A
223;DATDA4;5;A
225;ASTRO1;66;A
225;TRANS4;3;A
225;POTIO1;66;A
225;CHARM1;66;A
225;TRANS2;66;A
225;POTIO4;2;A
225;POTIO5;3;A
225;CHARM3;1;A
225;DATDA5;2;A
225;ASTRO5;2;A
225;TRANS3;3;A
225;DATDA3;6;A
225;DATDA2;1;A
225;POTIO2;66;A
225;HERBO4;2;A
225;CHARM5;2;A
225;HERBO1;66;A
225;HERBO2;66;A
225;HERBO3;1;A
225;CHARM4;1;A
225;TRANS5;2;A
225;ASTRO3;2;A
225;TRANS1;1;A
225;ASTRO2;66;A
225;HERBO5;3;E
225;CHARM2;1;A
225;DATDA1;66;A
225;ASTRO4;6;A
225;POTIO3;3;A
225;DATDA4;4;A
226;ASTRO1;66;A
226;TRANS4;66;A
226;POTIO1;1;A
226;CHARM1;66;A
226;TRANS2;1;A
226;POTIO4;66;A
226;POTIO5;66;A
226;CHARM3;3;A
226;DATDA5;66;E
226;ASTRO5;66;E
226;TRANS3;5;E
226;DATDA3;1;A
226;DATDA2;1;A
226;POTIO2;6;A
226;HERBO4;66;A
226;CHARM5;66;E
226;HERBO1;1;A
226;HERBO2;1;A
226;HERBO3;66;A
226;CHARM4;1;A
226;TRANS5;66;E
226;ASTRO3;4;A
226;TRANS1;1;A
226;ASTRO2;66;A
226;HERBO5;66;E
226;CHARM2;66;A
226;DATDA1;66;A
226;ASTRO4;66;A
226;POTIO3;66;A
226;DATDA4;66;A
232;ASTRO1;3;A
232;TRANS4;3;E
232;POTIO1;3;E
232;CHARM1;66;A
232;TRANS2;66;A
232;POTIO4;3;E
232;POTIO5;3;A
232;CHARM3;1;A
232;DATDA5;3;A
232;ASTRO5;2;E
232;TRANS3;2;E
232;DATDA3;2;A
232;DATDA2;1;A
232;POTIO2;6;A
232;HERBO4;3;A
232;CHARM5;2;E
232;HERBO1;1;A
232;HERBO2;1;E
232;HERBO3;2;E
232;CHARM4;2;O
232;TRANS5;3;A
232;ASTRO3;2;E
232;TRANS1;1;A
232;ASTRO2;66;A
232;HERBO5;3;E
232;CHARM2;1;A
232;DATDA1;66;E
232;ASTRO4;1;A
232;POTIO3;66;A
232;DATDA4;3;A
233;ASTRO1;66;A
233;TRANS4;5;A
233;POTIO1;3;A
233;CHARM1;66;A
233;TRANS2;66;A
233;POTIO4;5;E
233;POTIO5;5;A
233;CHARM3;3;A
233;DATDA5;5;A
233;ASTRO5;5;A
233;TRANS3;4;A
233;DATDA3;4;E
233;DATDA2;2;A
233;POTIO2;6;A
233;HERBO4;5;A
233;CHARM5;5;A
233;HERBO1;3;A
233;HERBO2;3;E
233;HERBO3;4;A
233;CHARM4;4;A
233;TRANS5;5;E
233;ASTRO3;4;A
233;TRANS1;3;A
233;ASTRO2;66;A
233;HERBO5;6;E
233;CHARM2;4;E
233;DATDA1;66;E
233;ASTRO4;5;A
233;POTIO3;4;A
233;DATDA4;5;A
244;ASTRO1;4;A
244;TRANS4;6;A
244;POTIO1;6;A
244;CHARM1;1;A
244;TRANS2;4;A
244;POTIO4;5;A
244;POTIO5;5;A
244;CHARM3;66;A
244;DATDA5;6;A
244;ASTRO5;5;A
244;TRANS3;5;A
244;DATDA3;5;A
244;DATDA2;3;A
244;POTIO2;2;A
244;HERBO4;5;A
244;CHARM5;5;A
244;HERBO1;1;A
244;HERBO2;1;A
244;HERBO3;3;A
244;CHARM4;5;E
244;TRANS5;5;A
244;ASTRO3;4;A
244;TRANS1;1;A
244;ASTRO2;4;A
244;HERBO5;6;E
244;CHARM2;1;A
244;DATDA1;1;A
244;ASTRO4;2;A
244;POTIO3;2;A
244;DATDA4;6;A
248;ASTRO1;1;A
248;TRANS4;4;A
248;POTIO1;1;A
248;CHARM1;1;A
248;TRANS2;6;E
248;POTIO4;4;A
248;POTIO5;4;A
248;CHARM3;2;A
248;DATDA5;4;A
248;ASTRO5;3;A
248;TRANS3;4;A
248;DATDA3;5;E
248;DATDA2;1;A
248;POTIO2;2;A
248;HERBO4;4;A
248;CHARM5;3;A
248;HERBO1;1;A
248;HERBO2;1;A
248;HERBO3;2;E
248;CHARM4;2;A
248;TRANS5;3;A
248;ASTRO3;2;A
248;TRANS1;1;A
248;ASTRO2;1;A
248;HERBO5;5;A
248;CHARM2;2;A
248;DATDA1;66;A
248;ASTRO4;2;A
248;POTIO3;2;A
248;DATDA4;6;A
249;ASTRO1;1;A
249;TRANS4;5;A
249;POTIO1;1;A
249;CHARM1;1;E
249;TRANS2;66;A
249;POTIO4;6;A
249;POTIO5;5;A
249;CHARM3;2;A
249;DATDA5;4;E
249;ASTRO5;3;E
249;TRANS3;2;A
249;DATDA3;5;E
249;DATDA2;1;A
249;POTIO2;66;A
249;HERBO4;3;A
249;CHARM5;5;A
249;HERBO1;1;A
249;HERBO2;1;A
249;HERBO3;2;A
249;CHARM4;2;A
249;TRANS5;3;A
249;ASTRO3;2;A
249;TRANS1;1;E
249;ASTRO2;66;A
249;HERBO5;6;A
249;CHARM2;1;A
249;DATDA1;66;A
249;ASTRO4;2;A
249;POTIO3;2;A
249;DATDA4;6;A
260;ASTRO1;66;A
260;TRANS4;4;A
260;POTIO1;3;A
260;CHARM1;1;E
260;TRANS2;66;A
260;POTIO4;6;A
260;POTIO5;5;A
260;CHARM3;3;A
260;DATDA5;4;A
260;ASTRO5;4;A
260;TRANS3;6;A
260;DATDA3;5;E
260;DATDA2;4;E
260;POTIO2;2;A
260;HERBO4;4;A
260;CHARM5;4;A
260;HERBO1;1;A
260;HERBO2;3;A
260;HERBO3;4;A
260;CHARM4;2;E
260;TRANS5;5;O
260;ASTRO3;2;A
260;TRANS1;3;A
260;ASTRO2;66;A
260;HERBO5;6;A
260;CHARM2;2;A
260;DATDA1;66;A
260;ASTRO4;3;A
260;POTIO3;3;A
260;DATDA4;5;A
267;ASTRO1;66;A
267;TRANS4;6;A
267;POTIO1;66;A
267;CHARM1;1;A
267;TRANS2;3;O
267;POTIO4;5;A
267;POTIO5;5;A
267;CHARM3;3;A
267;DATDA5;5;A
267;ASTRO5;5;A
267;TRANS3;5;A
267;DATDA3;4;E
267;DATDA2;2;A
267;POTIO2;66;A
267;HERBO4;66;A
267;CHARM5;5;A
267;HERBO1;66;E
267;HERBO2;1;E
267;HERBO3;4;A
267;CHARM4;5;E
267;TRANS5;5;A
267;ASTRO3;4;A
267;TRANS1;1;E
267;ASTRO2;1;E
267;HERBO5;6;E
267;CHARM2;3;E
267;DATDA1;66;E
267;ASTRO4;3;A
267;POTIO3;3;A
267;DATDA4;5;A
269;ASTRO1;1;A
269;TRANS4;6;A
269;POTIO1;4;A
269;CHARM1;66;A
269;TRANS2;4;A
269;POTIO4;6;E
269;POTIO5;5;A
269;CHARM3;3;A
269;DATDA5;5;A
269;ASTRO5;5;A
269;TRANS3;5;A
269;DATDA3;5;A
269;DATDA2;3;A
269;POTIO2;6;A
269;HERBO4;6;A
269;CHARM5;5;E
269;HERBO1;2;A
269;HERBO2;3;A
269;HERBO3;3;A
269;CHARM4;4;A
269;TRANS5;6;E
269;ASTRO3;4;A
269;TRANS1;2;A
269;ASTRO2;1;A
269;HERBO5;6;E
269;CHARM2;1;E
269;DATDA1;66;A
269;ASTRO4;3;A
269;POTIO3;4;E
269;DATDA4;6;A
272;ASTRO1;1;A
272;TRANS4;3;A
272;POTIO1;1;A
272;CHARM1;1;A
272;TRANS2;3;A
272;POTIO4;4;A
272;POTIO5;3;A
272;CHARM3;2;A
272;DATDA5;4;A
272;ASTRO5;3;A
272;TRANS3;6;E
272;DATDA3;4;A
272;DATDA2;1;A
272;POTIO2;2;A
272;HERBO4;4;A
272;CHARM5;3;A
272;HERBO1;1;A
272;HERBO2;1;E
272;HERBO3;2;A
272;CHARM4;2;A
272;TRANS5;3;A
272;ASTRO3;2;A
272;TRANS1;1;A
272;ASTRO2;66;A
272;HERBO5;5;A
272;CHARM2;1;A
272;DATDA1;66;A
272;ASTRO4;6;A
272;POTIO3;2;A
272;DATDA4;3;A
273;ASTRO1;1;A
273;TRANS4;6;O
273;POTIO1;4;A
273;CHARM1;66;A
273;TRANS2;3;A
273;POTIO4;6;E
273;POTIO5;6;E
273;CHARM3;6;A
273;DATDA5;4;A
273;ASTRO5;4;A
273;TRANS3;4;A
273;DATDA3;3;A
273;DATDA2;3;A
273;POTIO2;6;A
273;HERBO4;4;A
273;CHARM5;4;A
273;HERBO1;1;A
273;HERBO2;1;A
273;HERBO3;3;A
273;CHARM4;2;A
273;TRANS5;6;O
273;ASTRO3;2;A
273;TRANS1;1;A
273;ASTRO2;66;A
273;HERBO5;6;E
273;CHARM2;1;A
273;DATDA1;66;A
273;ASTRO4;2;A
273;POTIO3;4;A
273;DATDA4;6;E
274;ASTRO1;66;A
274;TRANS4;6;E
274;POTIO1;4;A
274;CHARM1;66;A
274;TRANS2;66;A
274;POTIO4;6;E
274;POTIO5;5;E
274;CHARM3;2;A
274;DATDA5;6;A
274;ASTRO5;5;A
274;TRANS3;3;A
274;DATDA3;5;A
274;DATDA2;1;A
274;POTIO2;6;A
274;HERBO4;6;A
274;CHARM5;6;E
274;HERBO1;1;A
274;HERBO2;2;A
274;HERBO3;4;E
274;CHARM4;3;E
274;TRANS5;6;E
274;ASTRO3;4;A
274;TRANS1;4;A
274;ASTRO2;1;A
274;HERBO5;6;O
274;CHARM2;4;A
274;DATDA1;66;A
274;ASTRO4;5;A
274;POTIO3;5;A
274;DATDA4;6;A
281;ASTRO1;1;A
281;TRANS4;4;A
281;POTIO1;2;A
281;CHARM1;66;A
281;TRANS2;6;A
281;POTIO4;5;A
281;POTIO5;6;A
281;CHARM3;2;E
281;DATDA5;5;E
281;ASTRO5;4;A
281;TRANS3;5;E
281;DATDA3;2;A
281;DATDA2;2;A
281;POTIO2;6;A
281;HERBO4;3;A
281;CHARM5;5;A
281;HERBO1;1;A
281;HERBO2;1;A
281;HERBO3;2;E
281;CHARM4;2;E
281;TRANS5;3;E
281;ASTRO3;2;A
281;TRANS1;1;E
281;ASTRO2;1;A
281;HERBO5;6;E
281;CHARM2;1;A
281;DATDA1;66;A
281;ASTRO4;1;A
281;POTIO3;5;A
281;DATDA4;6;A
290;ASTRO1;1;A
290;TRANS4;4;A
290;POTIO1;3;A
290;CHARM1;1;A
290;TRANS2;5;A
290;POTIO4;4;A
290;POTIO5;4;A
290;CHARM3;6;A
290;DATDA5;4;A
290;ASTRO5;4;A
290;TRANS3;4;A
290;DATDA3;3;A
290;DATDA2;2;A
290;POTIO2;6;A
290;HERBO4;4;A
290;CHARM5;4;A
290;HERBO1;1;A
290;HERBO2;1;E
290;HERBO3;3;A
290;CHARM4;3;A
290;TRANS5;4;O
290;ASTRO3;3;A
290;TRANS1;2;A
290;ASTRO2;2;E
290;HERBO5;4;E
290;CHARM2;1;A
290;DATDA1;3;A
290;ASTRO4;3;A
290;POTIO3;3;A
290;DATDA4;4;A
295;ASTRO1;3;A
295;TRANS4;5;A
295;POTIO1;2;A
295;CHARM1;3;A
295;TRANS2;4;A
295;POTIO4;5;A
295;POTIO5;5;A
295;CHARM3;5;A
295;DATDA5;4;A
295;ASTRO5;4;A
295;TRANS3;3;A
295;DATDA3;5;A
295;DATDA2;3;A
295;POTIO2;5;A
295;HERBO4;5;A
295;CHARM5;6;A
295;HERBO1;1;A
295;HERBO2;1;A
295;HERBO3;4;E
295;CHARM4;4;A
295;TRANS5;5;A
295;ASTRO3;5;A
295;TRANS1;2;A
295;ASTRO2;1;A
295;HERBO5;6;E
295;CHARM2;3;A
295;DATDA1;66;A
295;ASTRO4;4;A
295;POTIO3;4;A
295;DATDA4;5;E
301;ASTRO1;1;E
301;TRANS4;5;A
301;POTIO1;66;A
301;CHARM1;1;E
301;TRANS2;2;E
301;POTIO4;5;E
301;POTIO5;5;A
301;CHARM3;2;A
301;DATDA5;5;A
301;ASTRO5;4;O
301;TRANS3;4;E
301;DATDA3;3;E
301;DATDA2;1;A
301;POTIO2;4;A
301;HERBO4;4;A
301;CHARM5;5;A
301;HERBO1;1;A
301;HERBO2;1;E
301;HERBO3;3;A
301;CHARM4;4;E
301;TRANS5;5;A
301;ASTRO3;3;E
301;TRANS1;1;E
301;ASTRO2;66;A
301;HERBO5;6;A
301;CHARM2;2;A
301;DATDA1;66;A
301;ASTRO4;3;A
301;POTIO3;3;A
301;DATDA4;5;A
304;ASTRO1;66;A
304;TRANS4;6;A
304;POTIO1;3;A
304;CHARM1;2;E
304;TRANS2;6;E
304;POTIO4;5;A
304;POTIO5;5;A
304;CHARM3;3;A
304;DATDA5;5;O
304;ASTRO5;5;A
304;TRANS3;3;A
304;DATDA3;6;E
304;DATDA2;3;E
304;POTIO2;6;A
304;HERBO4;66;A
304;CHARM5;5;A
304;HERBO1;1;A
304;HERBO2;4;E
304;HERBO3;3;A
304;CHARM4;3;E
304;TRANS5;4;A
304;ASTRO3;3;E
304;TRANS1;5;A
304;ASTRO2;1;E
304;HERBO5;6;O
304;CHARM2;5;E
304;DATDA1;66;A
304;ASTRO4;4;E
304;POTIO3;6;E
304;DATDA4;5;A
305;ASTRO1;1;E
305;TRANS4;3;A
305;POTIO1;1;A
305;CHARM1;1;A
305;TRANS2;6;A
305;POTIO4;6;A
305;POTIO5;5;A
305;CHARM3;2;A
305;DATDA5;3;A
305;ASTRO5;3;A
305;TRANS3;5;A
305;DATDA3;4;A
305;DATDA2;2;A
305;POTIO2;2;A
305;HERBO4;4;A
305;CHARM5;3;A
305;HERBO1;1;A
305;HERBO2;1;A
305;HERBO3;2;A
305;CHARM4;2;E
305;TRANS5;3;A
305;ASTRO3;3;A
305;TRANS1;1;A
305;ASTRO2;66;A
305;HERBO5;4;E
305;CHARM2;2;A
305;DATDA1;66;A
305;ASTRO4;2;A
305;POTIO3;2;A
305;DATDA4;5;A
312;ASTRO1;66;A
312;TRANS4;66;A
312;POTIO1;1;A
312;CHARM1;1;A
312;TRANS2;3;E
312;POTIO4;66;E
312;POTIO5;5;A
312;CHARM3;2;A
312;DATDA5;66;A
312;ASTRO5;66;E
312;TRANS3;5;A
312;DATDA3;66;A
312;DATDA2;1;A
312;POTIO2;2;A
312;HERBO4;66;E
312;CHARM5;5;A
312;HERBO1;1;A
312;HERBO2;1;A
312;HERBO3;2;A
312;CHARM4;2;E
312;TRANS5;66;A
312;ASTRO3;3;A
312;TRANS1;1;A
312;ASTRO2;1;E
312;HERBO5;5;A
312;CHARM2;1;A
312;DATDA1;66;A
312;ASTRO4;2;A
312;POTIO3;66;A
312;DATDA4;6;A
315;ASTRO1;1;A
315;TRANS4;6;A
315;POTIO1;3;A
315;CHARM1;1;A
315;TRANS2;4;A
315;POTIO4;5;A
315;POTIO5;5;A
315;CHARM3;3;A
315;DATDA5;4;A
315;ASTRO5;4;A
315;TRANS3;3;A
315;DATDA3;5;A
315;DATDA2;2;A
315;POTIO2;66;A
315;HERBO4;4;A
315;CHARM5;4;A
315;HERBO1;1;A
315;HERBO2;1;A
315;HERBO3;2;A
315;CHARM4;2;A
315;TRANS5;4;A
315;ASTRO3;2;A
315;TRANS1;1;A
315;ASTRO2;1;E
315;HERBO5;5;E
315;CHARM2;3;A
315;DATDA1;66;A
315;ASTRO4;5;A
315;POTIO3;3;A
315;DATDA4;5;A
316;ASTRO1;1;A
316;TRANS4;5;A
316;POTIO1;6;E
316;CHARM1;1;A
316;TRANS2;6;A
316;POTIO4;5;A
316;POTIO5;5;A
316;CHARM3;3;A
316;DATDA5;4;A
316;ASTRO5;4;A
316;TRANS3;3;A
316;DATDA3;4;A
316;DATDA2;2;A
316;POTIO2;5;A
316;HERBO4;5;A
316;CHARM5;5;A
316;HERBO1;2;A
316;HERBO2;2;A
316;HERBO3;4;A
316;CHARM4;3;E
316;TRANS5;5;E
316;ASTRO3;3;A
316;TRANS1;4;A
316;ASTRO2;2;A
316;HERBO5;5;E
316;CHARM2;3;A
316;DATDA1;66;A
316;ASTRO4;3;A
316;POTIO3;3;A
316;DATDA4;5;A
327;ASTRO1;1;A
327;TRANS4;5;E
327;POTIO1;4;A
327;CHARM1;1;A
327;TRANS2;4;A
327;POTIO4;5;A
327;POTIO5;5;A
327;CHARM3;2;A
327;DATDA5;4;A
327;ASTRO5;4;E
327;TRANS3;2;A
327;DATDA3;6;A
327;DATDA2;3;A
327;POTIO2;4;A
327;HERBO4;5;A
327;CHARM5;4;A
327;HERBO1;1;A
327;HERBO2;1;A
327;HERBO3;3;A
327;CHARM4;2;E
327;TRANS5;5;E
327;ASTRO3;2;A
327;TRANS1;1;A
327;ASTRO2;1;E
327;HERBO5;5;E
327;CHARM2;2;A
327;DATDA1;4;A
327;ASTRO4;2;A
327;POTIO3;2;A
327;DATDA4;5;A
333;ASTRO1;66;A
333;TRANS4;5;A
333;POTIO1;2;A
333;CHARM1;1;A
333;TRANS2;3;A
333;POTIO4;6;A
333;POTIO5;4;A
333;CHARM3;3;A
333;DATDA5;6;A
333;ASTRO5;5;E
333;TRANS3;5;A
333;DATDA3;66;E
333;DATDA2;1;A
333;POTIO2;66;A
333;HERBO4;66;A
333;CHARM5;5;A
333;HERBO1;1;A
333;HERBO2;1;E
333;HERBO3;2;A
333;CHARM4;2;E
333;TRANS5;4;E
333;ASTRO3;3;A
333;TRANS1;4;A
333;ASTRO2;1;E
333;HERBO5;6;O
333;CHARM2;66;E
333;DATDA1;66;E
333;ASTRO4;2;E
333;POTIO3;5;A
333;DATDA4;6;A
334;ASTRO1;1;A
334;TRANS4;4;A
334;POTIO1;2;O
334;CHARM1;66;A
334;TRANS2;6;O
334;POTIO4;5;A
334;POTIO5;6;A
334;CHARM3;2;A
334;DATDA5;5;O
334;ASTRO5;6;A
334;TRANS3;1;A
334;DATDA3;4;A
334;DATDA2;2;E
334;POTIO2;66;A
334;HERBO4;6;A
334;CHARM5;5;A
334;HERBO1;6;A
334;HERBO2;2;A
334;HERBO3;5;A
334;CHARM4;6;A
334;TRANS5;1;E
334;ASTRO3;4;A
334;TRANS1;2;A
334;ASTRO2;66;A
334;HERBO5;6;E
334;CHARM2;5;A
334;DATDA1;6;A
334;ASTRO4;2;E
334;POTIO3;3;E
334;DATDA4;5;A
336;ASTRO1;1;A
336;TRANS4;5;A
336;POTIO1;2;A
336;CHARM1;1;A
336;TRANS2;6;A
336;POTIO4;6;A
336;POTIO5;5;A
336;CHARM3;4;A
336;DATDA5;4;A
336;ASTRO5;4;A
336;TRANS3;5;A
336;DATDA3;6;A
336;DATDA2;1;A
336;POTIO2;6;A
336;HERBO4;66;E
336;CHARM5;4;A
336;HERBO1;1;A
336;HERBO2;1;A
336;HERBO3;3;A
336;CHARM4;4;A
336;TRANS5;5;A
336;ASTRO3;3;A
336;TRANS1;1;A
336;ASTRO2;1;A
336;HERBO5;6;E
336;CHARM2;1;A
336;DATDA1;2;A
336;ASTRO4;5;A
336;POTIO3;3;A
336;DATDA4;5;A
337;ASTRO1;1;A
337;TRANS4;5;A
337;POTIO1;3;A
337;CHARM1;3;A
337;TRANS2;4;A
337;POTIO4;5;E
337;POTIO5;5;A
337;CHARM3;4;A
337;DATDA5;5;A
337;ASTRO5;5;A
337;TRANS3;5;A
337;DATDA3;4;A
337;DATDA2;2;A
337;POTIO2;6;A
337;HERBO4;5;A
337;CHARM5;5;A
337;HERBO1;1;A
337;HERBO2;1;A
337;HERBO3;4;A
337;CHARM4;4;A
337;TRANS5;5;E
337;ASTRO3;4;A
337;TRANS1;3;A
337;ASTRO2;1;A
337;HERBO5;5;E
337;CHARM2;3;A
337;DATDA1;3;A
337;ASTRO4;4;A
337;POTIO3;4;A
337;DATDA4;5;A
339;ASTRO1;1;A
339;TRANS4;5;E
339;POTIO1;1;A
339;CHARM1;1;A
339;TRANS2;3;A
339;POTIO4;5;A
339;POTIO5;4;A
339;CHARM3;3;A
339;DATDA5;4;A
339;ASTRO5;4;E
339;TRANS3;4;A
339;DATDA3;4;A
339;DATDA2;2;A
339;POTIO2;6;A
339;HERBO4;4;A
339;CHARM5;5;A
339;HERBO1;1;A
339;HERBO2;5;E
339;HERBO3;66;E
339;CHARM4;66;E
339;TRANS5;4;E
339;ASTRO3;3;A
339;TRANS1;2;A
339;ASTRO2;1;E
339;HERBO5;6;O
339;CHARM2;2;A
339;DATDA1;2;E
339;ASTRO4;3;A
339;POTIO3;3;A
339;DATDA4;5;A
341;ASTRO1;1;A
341;TRANS4;5;A
341;POTIO1;2;A
341;CHARM1;2;A
341;TRANS2;3;A
341;POTIO4;5;A
341;POTIO5;5;A
341;CHARM3;3;E
341;DATDA5;4;A
341;ASTRO5;4;E
341;TRANS3;4;A
341;DATDA3;4;E
341;DATDA2;2;A
341;POTIO2;6;A
341;HERBO4;4;A
341;CHARM5;5;A
341;HERBO1;2;E
341;HERBO2;2;A
341;HERBO3;3;A
341;CHARM4;3;A
341;TRANS5;5;E
341;ASTRO3;3;A
341;TRANS1;1;A
341;ASTRO2;1;E
341;HERBO5;5;O
341;CHARM2;2;A
341;DATDA1;2;A
341;ASTRO4;3;A
341;POTIO3;3;E
341;DATDA4;5;A
344;ASTRO1;1;A
344;TRANS4;6;A
344;POTIO1;2;A
344;CHARM1;1;A
344;TRANS2;4;E
344;POTIO4;5;A
344;POTIO5;5;A
344;CHARM3;3;A
344;DATDA5;5;A
344;ASTRO5;5;A
344;TRANS3;4;A
344;DATDA3;4;A
344;DATDA2;3;A
344;POTIO2;6;E
344;HERBO4;5;A
344;CHARM5;5;A
344;HERBO1;1;A
344;HERBO2;1;A
344;HERBO3;3;A
344;CHARM4;4;A
344;TRANS5;5;E
344;ASTRO3;3;A
344;TRANS1;2;E
344;ASTRO2;1;E
344;HERBO5;6;E
344;CHARM2;1;A
